"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"KRT9",NA,NA,NA,NA,1.57483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.055,NA,NA,NA,NA,NA,NA,NA
"SAA4",NA,27.4177,NA,NA,NA,NA,NA,NA,51.2479,NA,NA,NA,NA,NA,NA,NA,39.8055,NA,NA,NA,NA,NA,NA,NA,33.0783,47.0945,NA,NA,NA,NA,80.6359,21.4173,41.551,NA,NA,NA,NA,NA,NA
"AGL",21.7906,30.7824,28.592,29.0214,30.2929,29.037,31.508,29.7626,36.4654,33.9802,28.2295,36.8841,42.7185,40.3537,28.3247,22.47,33.9888,29.1854,40.9016,42.7954,37.3564,31.8902,43.0617,28.0421,39.5842,28.0367,27.173,27.6893,55.5267,31.0395,40.3951,28.5679,42.9152,33.5963,30.885,37.4778,33.3582,45.73,39.8195
"MYH9",170.418,147.166,138.946,109.105,155.201,173.764,174.247,203.927,188.446,130.777,191.176,150.452,172.668,167.128,212.707,151.969,224.063,218.021,219.056,128.616,148.342,429.768,159.224,158.142,227.52,259.322,221.122,397.773,177.133,171.096,575.444,158.355,223.358,189.802,156.666,235.83,179.946,233.567,173.447
"MYH10",226.457,208.488,198.764,142.779,183.112,199.405,212.781,230.123,231.823,183.979,211.735,173.828,214.251,217.353,230.918,196.049,200.711,234.462,211.523,143.218,196.544,259.282,206.537,189.597,229.488,258.64,252.362,284.487,188.135,214.423,259.265,193.398,222.12,219.869,205.331,223.694,228.744,211.025,243.621
"COPB2",69.0035,66.2847,53.4072,29.2238,80.1285,75.0463,80.6111,82.481,69.607,69.254,74.3573,103.601,72.5619,74.0954,80.2992,80.1649,89.7055,69.7105,78.2834,72.5562,67.1937,83.324,58.4341,52.9851,73.7044,68.7498,87.7769,70.9654,71.0671,80.2695,88.9883,72.1876,87.4852,87.5101,66.6697,75.2129,72.7525,82.9712,57.9154
"ACTN2",147.902,126.268,114.412,137.887,129.303,139.154,93.0954,103.533,103.328,94.799,106.729,119.466,110.66,115.826,70.0659,109.83,60.8121,86.8787,58.9783,89.2403,97.9909,93.2228,98.5231,104.468,66.6243,101.194,123.119,96.2971,49.6161,75.0932,59.4186,104.682,64.5799,74.9205,113.856,54.9761,135.337,40.7185,120.319
"ADD1",712.604,619.946,622.83,642.738,855.737,869.607,842.578,766.306,618.788,746.64,813.521,592.48,695.734,715.334,790.815,674.355,832.593,784.478,751.468,688.053,672.118,751.861,693.832,740.794,768.951,772.195,811.025,673.658,677.374,726.883,808.182,761.365,667.636,585.88,744.869,706.478,700.934,881.442,654.168
"ADD2",460.092,381.013,392.997,398.846,448.527,514.492,447.821,405.174,422.752,423.665,473.994,385.708,420.978,470.19,404.802,440.576,284.981,397.659,323.419,432.259,405.958,437.459,443.818,445.065,360.722,423.914,466.241,371.242,283.903,365.876,288.93,429.523,297.545,309.512,416.73,290.615,449.972,264.02,373.08
"BSG",174.455,183.023,153.085,201.147,199.292,179.568,205.256,197.417,191.082,239.347,150.408,160.705,184.448,150.976,241.658,157.51,205.546,143.258,144.101,146.109,153.369,141.767,143.403,136.52,189.093,176.438,158.922,199.07,95.2681,191.319,170.858,151.336,187.65,201.981,238.742,165.622,174.151,253.971,190.183
